cas_number,agent,iarc_group,year
85-84-7,Yellow AB,3,1987
85-86-9,Sudan III,3,1987
86-30-6,N-Nitrosodiphenylamine,3,1987
86-54-4,Hydralazine,3,1987
86-57-7,1-Nitronaphthalene,3,1989
86-73-7,Fluorene,3,2010
86-74-8,Carbazole,2B,2013
86-88-4,1-Naphthylthiourea (ANTU),3,1987
87-29-6,Cinnamyl anthranilate,3,2000
87-62-7,"2,6-Dimethylaniline (2,6-Xylidine)",2B,1993
87-68-3,Hexachlorobutadiene,3,1999
87-86-5,Pentachlorophenol (see also Polychlorophenols),1,
88-05-1,"2,4,6-Trimethylaniline",3,1987
88-06-2,"2,4,6-Trichlorophenol (see also Polychlorophenols)",2B,
88-12-0,N-Vinyl-2-pyrrolidone,3,1999
88-72-2,2-Nitrotoluene,2A,2013
88-73-3,2-Chloronitrobenzene,2B,
89-61-2,"1,4-Dichloro-2-nitrobenzene",2B,
89-82-7,Pulegone,2B,2016
90-04-0,ortho-Anisidine,2B,1999
90-43-7,ortho-Phenylphenol,3,1999
90-65-3,Penicillic acid,3,1987
90-94-8,"Michler’s ketone [4,4´-Bis(dimethylamino)-benzophenone]",2B,2010
91-20-3,Naphthalene,2B,2002
91-22-5,Quinoline,2B,
91-23-6,2-Nitroanisole,2B,1996
91-59-8,2-Naphthylamine,1,2012
91-64-5,Coumarin,3,2000
91-93-0,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",3,1987
91-94-1,"3,3'-Dichlorobenzidine",2B,1987
92-67-1,4-Aminobiphenyl,1,2012
92-87-5,Benzidine,1,2012
92-93-3,4-Nitrobiphenyl,3,1987
93-15-2,Methyleugenol,2B,2013
94-36-0,Benzoyl peroxide,3,1999
94-58-6,Dihydrosafrole,2B,1987
94-59-7,Safrole,2B,1987
94-75-7,"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)",2B,2018
95-06-7,Sulfallate,2B,1987
95-50-1,ortho-Dichlorobenzene,3,1999
95-53-4,ortho-Toluidine,1,2012
95-54-5,ortho-Phenylenediamine,2B,
95-68-1,"2,4-Xylidine",3,1987
95-69-2,4-Chloro-ortho-toluidine,2A,2010
95-70-5,"2,5-Diaminotoluene",3,1987
95-78-3,"2,5-Xylidine",3,1987
95-79-4,5-Chloro-ortho-toluidine,3,2010
95-80-7,"2,4-Diaminotoluene",2B,1987
95-83-0,4-Chloro-ortho-phenylenediamine,2B,1987
95-85-2,2-Amino-4-chlorophenol,2B,
